"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Get file with incorrect file id","LMS service","Sat Oct 18 01:53:37 GMT 2025","passed","Sat Oct 18 01:53:37 GMT 2025","Validate entity","Files","",""
"","20","Get file","LMS service","Sat Oct 18 01:53:35 GMT 2025","passed","Sat Oct 18 01:53:35 GMT 2025","Get entity","Files","",""
"","21","Update exercise","LMS service","Sat Oct 18 01:53:32 GMT 2025","passed","Sat Oct 18 01:53:32 GMT 2025","Update entity","Exercises","",""
"","288","Delete exercise","LMS service","Sat Oct 18 01:53:33 GMT 2025","passed","Sat Oct 18 01:53:33 GMT 2025","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Sat Oct 18 01:53:38 GMT 2025","passed","Sat Oct 18 01:53:38 GMT 2025","Get entity","Users","",""
"","21","Create exercise","LMS service","Sat Oct 18 01:53:31 GMT 2025","passed","Sat Oct 18 01:53:31 GMT 2025","Create entity","Exercises","",""
"","33","Create course","LMS service","Sat Oct 18 01:53:30 GMT 2025","passed","Sat Oct 18 01:53:30 GMT 2025","Create entity","Courses","",""
"","288","Create user","LMS service","Sat Oct 18 01:53:37 GMT 2025","passed","Sat Oct 18 01:53:37 GMT 2025","Create entity","Users","",""
"","23","Delete file","LMS service","Sat Oct 18 01:53:37 GMT 2025","passed","Sat Oct 18 01:53:37 GMT 2025","Delete entity","Files","",""
"","269","Create file with empty filename","LMS service","Sat Oct 18 01:53:35 GMT 2025","passed","Sat Oct 18 01:53:35 GMT 2025","Validate entity","Files","",""
"","287","Get exercise","LMS service","Sat Oct 18 01:53:32 GMT 2025","passed","Sat Oct 18 01:53:32 GMT 2025","Get entity","Exercises","",""
"","281","Create file","LMS service","Sat Oct 18 01:53:34 GMT 2025","passed","Sat Oct 18 01:53:34 GMT 2025","Create entity","Files","",""
"","33","Update course","LMS service","Sat Oct 18 01:53:31 GMT 2025","passed","Sat Oct 18 01:53:31 GMT 2025","Update entity","Courses","",""
"","286","Login with correct email and password","LMS service","Sat Oct 18 01:53:28 GMT 2025","passed","Sat Oct 18 01:53:29 GMT 2025","Login","Authentication","",""
"","268","Create file with empty directory","LMS service","Sat Oct 18 01:53:36 GMT 2025","passed","Sat Oct 18 01:53:36 GMT 2025","Validate entity","Files","",""
"","483","Create user","LMS service","Sat Oct 18 01:53:37 GMT 2025","passed","Sat Oct 18 01:53:37 GMT 2025","Create entity","Users","",""
"","287","Get exercises","LMS service","Sat Oct 18 01:53:33 GMT 2025","passed","Sat Oct 18 01:53:34 GMT 2025","Get entities","Exercises","",""
"","296","Get courses","LMS service","Sat Oct 18 01:53:29 GMT 2025","passed","Sat Oct 18 01:53:29 GMT 2025","Get entities","Courses","",""
"","553","Create user","LMS service","Sat Oct 18 01:53:37 GMT 2025","passed","Sat Oct 18 01:53:38 GMT 2025","Create entity","Users","",""
